model,label,group,n,accuracy,macro_f1,ece,brier_score,latency_p50,latency_p95,tokens_per_sec,peak_mb,strict_parse_error_rate,parse_error_rate,errors
B0,B0,Embedding,1151,0.6072980017376195,0.6059923890394363,0.19844846617750872,0.2679006393762592,21.238212997559458,23.531181999715045,0.0,675.66015625,,0.0,452
B1,B1,Embedding + logistic,1151,0.5994787141615986,0.598249921855794,0.12392404695641736,0.2030965605087173,21.215434000623645,23.374468000838533,0.0,675.66015625,,0.0,461
B2,B2,Embedding + MLP,1151,0.6220677671589921,0.61996785509048,0.11985985490838826,0.20460855636618874,21.191936000832357,23.557393997180043,0.0,675.66015625,,0.0,435
B3,B3,Cross-encoder,1151,1.0,1.0,0.31488162408454207,0.10105981874868934,23.973170002136612,26.63622900217888,0.0,2205.8603515625,,0.0,0
B4 API,B4 API,API,579,0.998272884283247,0.9982269280585491,0.008549222797920919,0.001766321243523316,1054.5863220031606,2168.0533350008773,0.0,0.0,,0.0,1
H1 hybrid,H1 hybrid,Hybrid,1151,0.8609904430929627,0.8601607811585144,0.1560329160700465,0.14470017176149513,22.286236999207176,25.72217299893964,0.0,2205.8603515625,,0.0,160
G0 Qwen,G0 Qwen,Zero-shot LM,1151,0.9904430929626412,0.9904674729259535,0.9755864465682016,0.9741007819287576,2501.8258780037286,2552.435006997257,25.49197190436578,5943.2255859375,,0.0,11
G1 Qwen,G1 Qwen,SFT/KD LM,1151,0.998262380538662,0.9982627933142694,0.1113814074717637,0.11122502172024326,2623.7835110005108,2653.3146780056995,24.34799469291207,5950.2568359375,,0.0,2
G2 Qwen,G2 Qwen,SFT/KD LM,1151,0.9973935708079931,0.9973742413089615,0.4491746307558645,0.44917463075586445,2625.6078430014895,2660.2302700048313,24.335305063143792,5950.2568359375,,0.0,3
G3 Qwen,G3 Qwen,3B LM,1151,0.9991311902693311,0.9991219194134238,0.023092962641177925,0.014816159860990444,2620.037421998859,2650.5728760021157,24.392310307516563,5950.2568359375,,0.0,1
G4 Qwen 4-bit,G4 Qwen 4-bit,Quantized LM,1151,0.9991311902693311,0.9990670829982838,0.16379669852301648,0.12923379669852303,1862.9393720038934,1972.1548579982482,28.938134882855547,5950.2568359375,,0.0,1
G5 0.5B ZS,G5 0.5B ZS,Zero-shot LM,1151,0.9930495221546481,0.9928482375045407,0.009556907037358873,0.009556907037358819,447.53498904174194,639.7603759542108,99.13574941645068,984.65380859375,0.0677671589921807,0.0,8
G5 0.5B G1,G5 0.5B G1,Compressed LM,1151,0.998262380538662,0.9982365182142307,0.002606429192006918,0.0026064291920069507,293.6020639608614,307.20334203215316,88.31360484016419,986.71630859375,0.0,0.0,2
G5 1.5B ZS,G5 1.5B ZS,Zero-shot LM,1151,0.9973935708079931,0.9973780811059616,0.0026064291920069316,0.0026064291920069507,329.597553005442,341.62937896326184,45.401853890472516,2996.48583984375,0.0,0.0,3
G5 1.5B G1,G5 1.5B G1,Compressed LM,1151,1.0,1.0,0.0,0.0,354.6605699812062,363.98401600308716,42.2373131091969,3000.64208984375,0.011294526498696786,0.0,0
